File Name,File Definition,Number of 16S Extracted,Reason for No Extraction,Number of Keep Sequences,Number of Outlier Sequences,Number of different sequences saved
GCF_014103895.1_ASM1410389v1_genomic.gbff.gz,"Klebsiella oxytoca strain RHBSTW-00178 plasmid pRHBSTW-00178_2, whole genome shotgun sequence",8,,7,1,1
GCF_014104195.1_ASM1410419v1_genomic.gbff.gz,"Klebsiella grimontii strain RHBSTW-00092 plasmid pRHBSTW-00092_2, whole genome shotgun sequence",8,,7,1,1
GCF_014105195.1_ASM1410519v1_genomic.gbff.gz,"Klebsiella michiganensis strain RHB20-C01 plasmid pRHB20-C01_2, whole genome shotgun sequence",8,,8,0,1
GCF_014129405.1_ASM1412940v1_genomic.gbff.gz,"Klebsiella michiganensis strain ZLTJD1 contig1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_014217275.1_ASM1421727v1_genomic.gbff.gz,"Klebsiella michiganensis strain AKKL-001 chromosome, complete genome",8,,8,0,1
GCF_014267425.1_ASM1426742v1_genomic.gbff.gz,"Klebsiella michiganensis strain Kop NODE_100_length_265_cov_0.787234, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_014330695.1_ASM1433069v1_genomic.gbff.gz,"Klebsiella michiganensis strain EC608 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_014654995.1_ASM1465499v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCKM090650 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_014655005.1_ASM1465500v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCKM090647 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_014655015.1_ASM1465501v1_genomic.gbff.gz,"Klebsiella grimontii strain SCKG090649 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_014655075.1_ASM1465507v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCKM090640 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_014655105.1_ASM1465510v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCKM090631 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_014655115.1_ASM1465511v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCKM090630 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_014855615.1_ASM1485561v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO13459-1 plasmid pKO13459-1_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014855615.2_ASM1485561v2_genomic.gbff.gz,"Klebsiella michiganensis strain KO13459-1 plasmid pKM_13459-1_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014856135.1_ASM1485613v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO16290 plasmid pKO16290_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014856145.1_ASM1485614v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO17045 plasmid pKO17045_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014856335.1_ASM1485633v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO14657 plasmid pKO14657_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014856345.1_ASM1485634v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO16162 plasmid pKO16162_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014856365.1_ASM1485636v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO13048 plasmid pKO13048_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014856375.1_ASM1485637v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO14641 plasmid pKO14641_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014856385.1_ASM1485638v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO13137a plasmid pKO13137_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014856435.1_ASM1485643v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO13047 plasmid pKO13047_KPC2, whole genome shotgun sequence",1,,1,0,1
GCF_014901955.1_ASM1490195v1_genomic.gbff.gz,"Klebsiella grimontii strain UCICRE-146 scaffold00001, whole genome shotgun sequence",1,,1,0,1
GCF_015074825.1_ASM1507482v1_genomic.gbff.gz,"Klebsiella grimontii strain M5a1 chromosome, complete genome",8,,4,4,2
GCF_015139575.1_ASM1513957v1_genomic.gbff.gz,"Klebsiella michiganensis strain THO-011 chromosome, complete genome",8,,3,5,1
GCF_015208375.1_ASM1520837v1_genomic.gbff.gz,"Klebsiella grimontii strain IN139_11 contig00001, whole genome shotgun sequence",0,No matching 16S rRNA product criteria,0,0
GCF_015265825.1_ASM1526582v1_genomic.gbff.gz,"Klebsiella oxytoca strain EC7 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015265865.1_ASM1526586v1_genomic.gbff.gz,"Klebsiella oxytoca strain K51 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015356395.1_ASM1535639v1_genomic.gbff.gz,"Klebsiella michiganensis strain CPE6 plasmid pA6sk3_1, whole genome shotgun sequence",8,,7,1,2
GCF_015356405.1_ASM1535640v1_genomic.gbff.gz,"Klebsiella michiganensis strain CPE5 plasmid p211DT2019_1, whole genome shotgun sequence",8,,7,1,2
GCF_015550995.1_ASM1555099v1_genomic.gbff.gz,"Klebsiella michiganensis strain 1001254B_151014_G7 NODE_10_length_232264_cov_32.9819, whole genome shotgun sequence",1,,1,0,1
GCF_015551825.1_ASM1555182v1_genomic.gbff.gz,"Klebsiella oxytoca strain 1001216B_150713_B10 NODE_10_length_237251_cov_20.6226, whole genome shotgun sequence",1,,1,0,1
GCF_015554545.1_ASM1555454v1_genomic.gbff.gz,"Klebsiella oxytoca strain 1001095A_150126_A4 NODE_10_length_202611_cov_24.3009, whole genome shotgun sequence",1,,1,0,1
GCF_015559095.1_ASM1555909v1_genomic.gbff.gz,"Klebsiella oxytoca strain 1001311H_170123_C2 NODE_10_length_204774_cov_34.9631, whole genome shotgun sequence",1,,1,0,1
GCF_015679305.1_ASM1567930v1_genomic.gbff.gz,"Klebsiella oxytoca strain 708776-17 708776-17scaffold_0001, whole genome shotgun sequence",1,,1,0,1
GCF_015679365.1_ASM1567936v1_genomic.gbff.gz,"Klebsiella michiganensis strain 401065-17 401065-17_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_015694145.1_ASM1569414v1_genomic.gbff.gz,"Klebsiella oxytoca strain EC2 contig00003, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_015721195.1_ASM1572119v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00036 KLO00036_c0001, whole genome shotgun sequence",1,,1,0,1
GCF_015721205.1_ASM1572120v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00038 KLO00038_c0001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_015721265.1_ASM1572126v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00033 KLO00033_c0001, whole genome shotgun sequence",1,,1,0,1
GCF_015721285.1_ASM1572128v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00030 KLO00030_c0001, whole genome shotgun sequence",1,,1,0,1
GCF_015721295.1_ASM1572129v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00028 KLO00028_c0001, whole genome shotgun sequence",1,,1,0,1
GCF_015721325.1_ASM1572132v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00031 KLO00031_c0001, whole genome shotgun sequence",1,,1,0,1
GCF_015721335.1_ASM1572133v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00029 KLO00029_c0001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_015721345.1_ASM1572134v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00026 KLO00026_c0001, whole genome shotgun sequence",1,,1,0,1
GCF_015721385.1_ASM1572138v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00027 KLO00027_c0001, whole genome shotgun sequence",1,,1,0,1
GCF_015721405.1_ASM1572140v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00024 KLO00024_c0001, whole genome shotgun sequence",1,,1,0,1
GCF_015721425.1_ASM1572142v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00019 KLO00019_c0001, whole genome shotgun sequence",1,,1,0,1
GCF_015721435.1_ASM1572143v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00023 1, whole genome shotgun sequence",8,,5,3,1
GCF_015721445.1_ASM1572144v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00020 KLO00020_c0001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_015721485.1_ASM1572148v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00018 KLO00018_contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015721495.1_ASM1572149v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00017 KLO00017_c0001, whole genome shotgun sequence",8,,8,0,1
GCF_015721525.1_ASM1572152v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00016 KLO00016_contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_015721545.1_ASM1572154v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00015 1, whole genome shotgun sequence",8,,8,0,1
GCF_015721555.1_ASM1572155v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00014 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015721585.1_ASM1572158v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00012 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015721605.1_ASM1572160v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00013 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015721625.1_ASM1572162v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00011 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015721645.1_ASM1572164v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00010 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015721655.1_ASM1572165v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00008 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015721685.1_ASM1572168v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00007 contig00001, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_015721705.1_ASM1572170v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00006 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015721725.1_ASM1572172v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00003 1, whole genome shotgun sequence",8,,8,0,1
GCF_015721745.1_ASM1572174v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLO00005 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015721755.1_ASM1572175v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLO00001 contig00001, whole genome shotgun sequence",1,,1,0,1
GCF_015773165.1_ASM1577316v1_genomic.gbff.gz,"Klebsiella michiganensis strain Lac4 NODE_100_length_294_cov_211.723077, whole genome shotgun sequence",1,,1,0,1
GCF_015999385.1_ASM1599938v1_genomic.gbff.gz,"Klebsiella michiganensis strain 7525 chromosome, complete genome",8,,8,0,1
GCF_016529765.1_ASM1652976v1_genomic.gbff.gz,"Klebsiella oxytoca strain 1-22 NODE_100_length_300_cov_84.394619, whole genome shotgun sequence",1,,1,0,1
GCF_016618215.1_ASM1661821v1_genomic.gbff.gz,"Klebsiella michiganensis strain BD-50-Km chromosome, complete genome",8,,4,4,2
GCF_016620455.1_ASM1662045v1_genomic.gbff.gz,"Klebsiella michiganensis strain H08 Klebsiella_contig_1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_016636025.1_ASM1663602v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO57_H NODE_100_length_315_cov_1.105932_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016636045.1_ASM1663604v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO52_H NODE_100_length_359_cov_17.828571_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016636055.1_ASM1663605v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO105_C NODE_100_length_363_cov_18.330986_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016636085.1_ASM1663608v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO104_H NODE_100_length_479_cov_1.507500_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016636105.1_ASM1663610v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO19_H NODE_100_length_334_cov_0.819608_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016636135.1_ASM1663613v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO39_H NODE_100_length_630_cov_1.000000_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016636165.1_ASM1663616v1_genomic.gbff.gz,"Klebsiella oxytoca strain KO31_C NODE_100_length_319_cov_46.779167_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016643945.1_ASM1664394v1_genomic.gbff.gz,"Klebsiella oxytoca strain 2-52 NODE_100_length_258_cov_0.817680, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_016652915.1_ASM1665291v1_genomic.gbff.gz,"Klebsiella michiganensis strain KA43_C NODE_100_length_1162_cov_1.318560_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016652925.1_ASM1665292v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO99_C NODE_100_length_384_cov_0.849180_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016652965.1_ASM1665296v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO66_H NODE_100_length_380_cov_0.877076_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016652995.1_ASM1665299v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO12_C NODE_100_length_389_cov_0.890323_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016653015.1_ASM1665301v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO70_H NODE_100_length_337_cov_1.065891_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016653035.1_ASM1665303v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO36_C NODE_100_length_17155_cov_4.905774_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016653045.1_ASM1665304v1_genomic.gbff.gz,"Klebsiella grimontii strain KO10_C NODE_1000_length_352_cov_0.974359_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016653085.1_ASM1665308v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO7_H NODE_100_length_411_cov_17.322289_pilon, whole genome shotgun sequence",1,,1,0,1
GCF_016656825.1_ASM1665682v1_genomic.gbff.gz,Klebsiella grimontii strain KOX 60 chromosome,7,,7,0,3
GCF_016679895.1_KLEB011_genomic.gbff.gz,"Klebsiella michiganensis strain KLEB011 1, whole genome shotgun sequence",1,,1,0,1
GCF_016734915.1_ASM1673491v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLEB016 1, whole genome shotgun sequence",1,,1,0,1
GCF_016734965.1_ASM1673496v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLEB015 1, whole genome shotgun sequence",1,,1,0,1
GCF_016734995.1_ASM1673499v1_genomic.gbff.gz,"Klebsiella oxytoca strain KLEB012 1, whole genome shotgun sequence",1,,1,0,1
GCF_016735005.1_ASM1673500v1_genomic.gbff.gz,"Klebsiella michiganensis strain KLEB014 1, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_016772995.1_ASM1677299v1_genomic.gbff.gz,"Klebsiella michiganensis strain CPO116 1, whole genome shotgun sequence",8,,8,0,1
GCF_016773035.1_ASM1677303v1_genomic.gbff.gz,"Klebsiella oxytoca strain CPO119 1, whole genome shotgun sequence",8,,8,0,1
GCF_016773175.1_ASM1677317v1_genomic.gbff.gz,"Klebsiella oxytoca strain CPO082 1, whole genome shotgun sequence",8,,8,0,1
GCF_016774035.1_ASM1677403v1_genomic.gbff.gz,"Klebsiella oxytoca strain CPO118 1, whole genome shotgun sequence",8,,8,0,1
GCF_016774075.1_ASM1677407v1_genomic.gbff.gz,"Klebsiella oxytoca strain CPO121 1, whole genome shotgun sequence",8,,8,0,1
GCF_016774315.1_ASM1677431v1_genomic.gbff.gz,"Klebsiella oxytoca strain CPO088 1, whole genome shotgun sequence",8,,8,0,1
GCF_016811025.1_ASM1681102v1_genomic.gbff.gz,"Klebsiella grimontii strain AT013-Mero-001 NODE_100_length_3197_cov_5.972436, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_016903415.1_ASM1690341v1_genomic.gbff.gz,"Klebsiella oxytoca strain FDAARGOS_1334 chromosome, complete genome",8,,2,6,2
GCF_016903715.1_ASM1690371v1_genomic.gbff.gz,"Klebsiella oxytoca strain FDAARGOS_1332 chromosome, complete genome",8,,7,1,3
GCF_016903975.1_ASM1690397v1_genomic.gbff.gz,"Klebsiella oxytoca strain FDAARGOS_1333 chromosome, complete genome",8,,5,3,1
GCF_016904515.1_ASM1690451v1_genomic.gbff.gz,"Klebsiella oxytoca strain FDAARGOS_1331 chromosome, complete genome",8,,6,2,2
GCF_016905825.1_ASM1690582v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO46817 NODE_100_length_17254_cov_22.952648, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_016918825.1_ASM1691882v1_genomic.gbff.gz,"Klebsiella oxytoca strain FDAARGOS_1336 chromosome, whole genome shotgun sequence",8,,4,4,1
GCF_017114595.1_ASM1711459v1_genomic.gbff.gz,"Klebsiella michiganensis strain KO45182 plasmid unnamed1, whole genome shotgun sequence",8,,6,2,3
GCF_017310465.1_ASM1731046v1_genomic.gbff.gz,"Klebsiella oxytoca strain IR5392 chromosome, complete genome",8,,5,3,2
GCF_017348855.1_ASM1734885v1_genomic.gbff.gz,"Klebsiella michiganensis strain Kmfe267 chromosome, complete genome",8,,8,0,1
GCF_017639895.1_ASM1763989v1_genomic.gbff.gz,"Klebsiella michiganensis strain 12084 chromosome, complete genome",8,,7,1,2
GCF_017798285.1_ASM1779828v1_genomic.gbff.gz,"Klebsiella michiganensis strain LDS17 chromosome, complete genome",8,,3,5,3
GCF_017810085.1_ASM1781008v1_genomic.gbff.gz,"Klebsiella michiganensis strain ET24 NODE_100_length_255_cov_72.085938, whole genome shotgun sequence",1,,1,0,1
GCF_017815775.1_ASM1781577v1_genomic.gbff.gz,"Klebsiella michiganensis strain X2-1 chromosome, complete genome",8,,7,1,3
GCF_017863855.1_ASM1786385v1_genomic.gbff.gz,"Klebsiella grimontii strain 2481359 chromosome, complete genome",8,,8,0,1
GCF_017863935.1_ASM1786393v1_genomic.gbff.gz,"Klebsiella grimontii strain 5512.56 chromosome, complete genome",8,,8,0,1
GCF_017968865.1_ASM1796886v1_genomic.gbff.gz,"Klebsiella oxytoca isolate KoPF10 chromosome, complete genome",8,,7,1,2
GCF_017974245.1_ASM1797424v1_genomic.gbff.gz,"Klebsiella oxytoca strain ISMETTKLB165 NODE_10_length_176991_cov_47.6485_ID_20519, whole genome shotgun sequence",1,,1,0,1
GCF_018068785.1_ASM1806878v1_genomic.gbff.gz,"Klebsiella oxytoca strain 2020EL-00037 NODE_100_length_3392_cov_24.913629, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_018092585.1_ASM1809258v1_genomic.gbff.gz,"Klebsiella michiganensis strain 20-MO00090-0 20-MO00090-0_KlebKlinAbwUBo_contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_018092635.1_ASM1809263v1_genomic.gbff.gz,"Klebsiella michiganensis strain 20-MO00090-1 20-MO00090-1_KlebKlinAbwUBo_contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_018138395.1_ASM1813839v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCPM-O-B-9255 (F28-4Ko/19) 1, whole genome shotgun sequence",1,,1,0,1
GCF_018138465.1_ASM1813846v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCPM-O-B-9252 (Z12Ko/19) 1, whole genome shotgun sequence",1,,1,0,1
GCF_018138485.1_ASM1813848v1_genomic.gbff.gz,"Klebsiella michiganensis strain SCPM-O-B-9251 (F12-4Ko/19) 1, whole genome shotgun sequence",1,,1,0,1
GCF_018138905.1_ASM1813890v1_genomic.gbff.gz,"Klebsiella oxytoca strain SCPM-O-B-9254 (Z18Ko/19) 1, whole genome shotgun sequence",1,,1,0,1
GCF_018139045.1_ASM1813904v1_genomic.gbff.gz,"Klebsiella pasteurii strain Sb-24 chromosome, complete genome",8,,6,2,2
GCF_018140945.1_ASM1814094v1_genomic.gbff.gz,"Klebsiella michiganensis strain CZ598 chromosome, complete genome",8,,5,3,2
GCF_018257735.1_ASM1825773v1_genomic.gbff.gz,"Klebsiella michiganensis strain JGM22 scaffold100_size18689, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_018422065.1_ASM1842206v1_genomic.gbff.gz,"Klebsiella michiganensis strain Survcare371 Survcare371_S13_contig_1, whole genome shotgun sequence",1,,1,0,1
GCF_018422165.1_ASM1842216v1_genomic.gbff.gz,"Klebsiella michiganensis strain Survcare365 NODE_100_length_15790_cov_5.12607, whole genome shotgun sequence",1,,1,0,1
GCF_018438865.1_ASM1843886v1_genomic.gbff.gz,"Klebsiella michiganensis strain NRZ-41473 NODE_10_length_241632_cov_34.7639, whole genome shotgun sequence",1,,1,0,1
GCF_018439305.1_ASM1843930v1_genomic.gbff.gz,"Klebsiella michiganensis strain NRZ-36825 NODE_100_length_203_cov_40.7619, whole genome shotgun sequence",1,,1,0,1
GCF_018439315.1_ASM1843931v1_genomic.gbff.gz,"Klebsiella michiganensis strain NRZ-36826 NODE_100_length_1447_cov_18.6636, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
GCF_018439335.1_ASM1843933v1_genomic.gbff.gz,"Klebsiella michiganensis strain NRZ-36521 NODE_10_length_232010_cov_42.287, whole genome shotgun sequence",1,,1,0,1
GCF_018439355.1_ASM1843935v1_genomic.gbff.gz,"Klebsiella michiganensis strain NRZ-36455 NODE_100_length_22067_cov_6.9382, whole genome shotgun sequence",0,All rRNA sequences shorter than 1400 bases,0,0
